"id","dispatching_base_number","date","active_vehicles","trips"
"321","B02764","2015-02-23","3734","31173"
"322","B02682","2015-02-23","1262","11714"
"323","B02765","2015-02-23","665","5823"
"324","B02512","2015-02-23","238","1844"
"325","B02764","2015-02-24","3965","34686"
"326","B02512","2015-02-24","247","1869"
"327","B02598","2015-02-24","1061","9954"
"328","B02682","2015-02-24","1346","12497"
"329","B02617","2015-02-24","1456","13719"
"330","B02765","2015-02-24","698","6390"
"331","B02512","2015-02-25","246","1647"
"332","B02598","2015-02-25","1076","9405"
"333","B02765","2015-02-25","706","6178"
"334","B02682","2015-02-25","1395","12693"
"335","B02617","2015-02-25","1473","12811"
"336","B02764","2015-02-25","3934","31957"
"337","B02598","2015-02-26","1134","10661"
"338","B02617","2015-02-26","1539","14461"
"339","B02682","2015-02-26","1465","13814"
"340","B02512","2015-02-26","243","1797"
"341","B02765","2015-02-26","745","6744"
"342","B02764","2015-02-26","4101","36091"
"343","B02765","2015-02-27","786","7563"
"344","B02617","2015-02-27","1551","14677"
"345","B02598","2015-02-27","1114","10755"
"346","B02512","2015-02-27","272","2056"
"347","B02764","2015-02-27","4253","38780"
"348","B02682","2015-02-27","1510","14975"
"349","B02598","2015-02-28","994","10319"
"350","B02764","2015-02-28","3952","39812"
"351","B02617","2015-02-28","1372","14022"
"352","B02682","2015-02-28","1386","14472"
"353","B02512","2015-02-28","230","1803"
"354","B02765","2015-02-28","747","7753"
